configuration,disabled_rule,tp,fp,tn,fn,precision,recall,f1,delta_f1_vs_full,delta_recall_vs_full,false_positive_rate,false_negative_rate
Full,,12,0,12,0,1,1,1,0,0,0,0
Full-G,G,11,0,12,1,1,0.9166666666666666,0.9565217391304348,-0.04347826086956519,-0.08333333333333337,0,0.08333333333333333
Full-I,I,10,0,12,2,1,0.8333333333333334,0.9090909090909091,-0.09090909090909094,-0.16666666666666663,0,0.16666666666666666
Full-S,S,11,0,12,1,1,0.9166666666666666,0.9565217391304348,-0.04347826086956519,-0.08333333333333337,0,0.08333333333333333
Full-Y,Y,11,0,12,1,1,0.9166666666666666,0.9565217391304348,-0.04347826086956519,-0.08333333333333337,0,0.08333333333333333
Full-M,M,9,0,12,3,1,0.75,0.8571428571428571,-0.1428571428571429,-0.25,0,0.25
Full-C,C,10,0,12,2,1,0.8333333333333334,0.9090909090909091,-0.09090909090909094,-0.16666666666666663,0,0.16666666666666666
