status,ok,latency_ms,error
201,true,28.569,""
201,true,36.761,""
201,true,30.562,""
201,true,26.099,""
201,true,28.544,""
201,true,38.600,""
201,true,31.048,""
201,true,40.083,""
201,true,27.535,""
201,true,21.232,""
201,true,19.238,""
201,true,16.577,""
201,true,14.114,""
201,true,13.403,""
201,true,18.202,""
201,true,27.928,""
201,true,20.899,""
201,true,12.534,""
201,true,14.228,""
201,true,13.300,""
201,true,15.714,""
201,true,12.805,""
201,true,16.761,""
201,true,17.066,""
201,true,23.479,""
201,true,19.873,""
201,true,14.561,""
201,true,15.885,""
201,true,14.628,""
201,true,14.723,""
201,true,12.750,""
201,true,12.667,""
201,true,13.029,""
201,true,11.955,""
201,true,16.670,""
201,true,15.012,""
201,true,13.793,""
201,true,13.573,""
201,true,12.832,""
201,true,13.480,""
201,true,13.420,""
201,true,13.391,""
201,true,14.277,""
201,true,13.680,""
201,true,14.684,""
201,true,15.864,""
201,true,35.973,""
201,true,232.753,""
201,true,24.838,""
201,true,13.413,""
201,true,14.795,""
201,true,10.641,""
201,true,12.485,""
201,true,10.976,""
201,true,9.192,""
201,true,9.386,""
201,true,8.973,""
201,true,10.431,""
201,true,7.519,""
201,true,10.160,""
201,true,10.166,""
201,true,12.229,""
201,true,54.560,""
201,true,19.185,""
201,true,26.260,""
201,true,12.326,""
201,true,10.422,""
201,true,10.974,""
201,true,9.018,""
201,true,12.198,""
201,true,8.261,""
201,true,13.521,""
201,true,17.384,""
201,true,11.682,""
201,true,10.365,""
201,true,9.971,""
201,true,11.805,""
201,true,10.050,""
201,true,8.682,""
201,true,9.681,""
201,true,10.279,""
201,true,10.480,""
201,true,12.888,""
201,true,10.738,""
201,true,10.684,""
201,true,10.989,""
201,true,9.579,""
201,true,11.611,""
201,true,10.909,""
201,true,12.151,""
201,true,10.688,""
201,true,12.759,""
201,true,18.691,""
201,true,10.323,""
201,true,12.039,""
201,true,8.984,""
201,true,9.057,""
201,true,8.819,""
201,true,13.471,""
201,true,12.747,""
201,true,8.669,""
201,true,8.448,""
201,true,9.885,""
201,true,9.509,""
201,true,8.466,""
201,true,8.156,""
201,true,8.303,""
201,true,8.338,""
201,true,8.742,""
201,true,8.390,""
201,true,11.483,""
201,true,9.743,""
201,true,9.247,""
201,true,8.475,""
201,true,8.941,""
201,true,9.536,""
201,true,8.867,""
201,true,8.090,""
201,true,8.095,""
201,true,8.056,""
201,true,8.413,""
201,true,7.395,""
201,true,7.805,""
201,true,7.749,""
201,true,7.454,""
201,true,8.119,""
201,true,7.937,""
201,true,9.772,""
201,true,8.656,""
201,true,8.806,""
201,true,11.067,""
201,true,7.974,""
201,true,9.347,""
201,true,8.365,""
201,true,7.477,""
201,true,8.166,""
201,true,8.318,""
201,true,8.151,""
201,true,9.312,""
201,true,9.293,""
201,true,17.816,""
201,true,11.231,""
201,true,10.521,""
201,true,8.857,""
201,true,8.958,""
201,true,8.654,""
201,true,8.204,""
201,true,9.747,""
201,true,8.405,""
201,true,8.852,""
201,true,13.901,""
201,true,15.868,""
201,true,8.302,""
201,true,7.241,""
201,true,7.509,""
201,true,8.636,""
201,true,11.843,""
201,true,8.915,""
201,true,8.483,""
201,true,7.864,""
201,true,8.459,""
201,true,7.711,""
201,true,8.114,""
201,true,9.187,""
201,true,8.106,""
201,true,8.845,""
201,true,11.127,""
201,true,9.680,""
201,true,9.719,""
201,true,9.826,""
201,true,9.297,""
201,true,10.061,""
201,true,19.061,""
201,true,9.349,""
201,true,10.016,""
201,true,9.212,""
201,true,10.904,""
201,true,11.689,""
201,true,10.601,""
201,true,12.247,""
201,true,11.101,""
201,true,10.058,""
201,true,11.592,""
201,true,10.951,""
201,true,10.964,""
201,true,11.074,""
201,true,9.418,""
201,true,8.512,""
201,true,10.349,""
201,true,9.383,""
201,true,9.369,""
201,true,8.466,""
201,true,9.964,""
201,true,9.829,""
201,true,8.863,""
201,true,8.673,""
201,true,8.357,""
201,true,8.552,""
201,true,8.004,""
201,true,9.033,""
201,true,7.563,""
201,true,7.302,""
201,true,12.044,""
201,true,14.741,""
201,true,9.332,""
201,true,8.704,""
201,true,8.301,""
201,true,8.587,""
201,true,8.036,""
201,true,8.165,""
201,true,9.857,""
201,true,8.167,""
201,true,7.774,""
201,true,8.673,""
201,true,9.393,""
201,true,8.063,""
201,true,9.314,""
201,true,7.974,""
201,true,7.244,""
201,true,8.737,""
201,true,8.879,""
201,true,8.472,""
201,true,12.159,""
201,true,6.945,""
201,true,9.166,""
201,true,7.818,""
201,true,7.463,""
201,true,7.769,""
201,true,8.333,""
201,true,8.524,""
201,true,8.566,""
201,true,8.242,""
201,true,8.078,""
201,true,9.148,""
201,true,9.258,""
201,true,8.439,""
201,true,7.870,""
201,true,7.796,""
201,true,7.677,""
201,true,8.618,""
201,true,9.612,""
201,true,7.972,""
201,true,8.638,""
201,true,10.880,""
201,true,11.881,""
201,true,11.348,""
201,true,12.557,""
201,true,11.520,""
201,true,9.105,""
201,true,9.249,""
201,true,11.370,""
201,true,9.648,""
201,true,11.184,""
201,true,13.067,""
201,true,9.284,""
201,true,11.419,""
201,true,9.768,""
201,true,10.175,""
201,true,10.723,""
201,true,9.023,""
201,true,10.323,""
201,true,9.149,""
201,true,9.651,""
201,true,13.263,""
201,true,14.868,""
201,true,11.660,""
201,true,9.002,""
201,true,8.586,""
201,true,8.568,""
201,true,8.331,""
201,true,8.257,""
